date,week,month,quarter,region,country,channel,category,subcategory,sku,promo_flag,units_sold,net_sales,discount_rate,marketing_spend,inventory_level,forecast_demand,supply_lead_time_days,fulfillment_rate,backorder_rate,campaign_name,marketing_roi
2024-01-01,1,1,Q1,North America,Canada,Online,Apparel,Jackets,APP-JAC-0000,None,40,1330.00,0.05,392.14,69,46,7,0.95,0.00,Spring Refresh,2.39
2024-01-01,1,1,Q1,North America,USA,Online,Footwear,Sneakers,FOO-SNE-0000,None,72,6156.00,0.05,366.79,63,81,18,0.92,0.12,City Walks,15.78
2024-01-01,1,1,Q1,North America,USA,Online,Accessories,Backpacks,ACC-BAC-0000,BOGO,104,3717.54,0.21,448.99,73,109,15,0.91,0.30,Travel Light,7.28
2024-01-01,1,1,Q1,Europe,UK,Outlet,Apparel,T-Shirts,APP-TSH-0000,BOGO,24,602.76,0.28,717.68,49,29,7,0.95,0.00,Back-to-School,-0.16
2024-01-01,1,1,Q1,Europe,Germany,Outlet,Footwear,Sandals,FOO-SAN-0000,None,20,1710.00,0.05,847.71,30,25,12,0.98,0.00,Trail Master,1.02
2024-01-01,1,1,Q1,Europe,UK,Marketplace,Accessories,Backpacks,ACC-BAC-0000,Clearance,38,1380.75,0.19,377.89,84,43,7,0.95,0.00,Everyday Essentials,2.65
2024-01-01,1,1,Q1,APAC,Australia,Retail,Apparel,Jackets,APP-JAC-0000,None,43,1429.75,0.05,1189.10,60,48,12,0.96,0.00,Spring Refresh,0.20
2024-01-01,1,1,Q1,APAC,Australia,Online,Footwear,Sneakers,FOO-SNE-0000,BOGO,51,4055.05,0.12,1109.66,70,56,15,0.92,0.00,Trail Master,2.65
2024-01-01,1,1,Q1,APAC,Singapore,Marketplace,Accessories,Backpacks,ACC-BAC-0000,None,40,1710.00,0.05,934.79,72,45,18,0.98,0.00,Travel Light,0.83
2024-01-01,1,1,Q1,LATAM,Brazil,Retail,Apparel,Hoodies,APP-HOO-0000,Loyalty,81,2201.72,0.22,946.01,45,97,10,0.97,0.44,Summer Splash,1.33
2024-01-01,1,1,Q1,LATAM,Chile,Online,Footwear,Sandals,FOO-SAN-0000,None,63,5386.50,0.05,710.28,90,78,5,0.96,0.00,Run Faster,6.58
2024-01-01,1,1,Q1,LATAM,Mexico,Outlet,Accessories,Watches,ACC-WAT-0000,BOGO,32,1190.34,0.17,324.48,71,37,13,0.99,0.00,Everyday Essentials,2.67
2024-01-02,1,1,Q1,North America,Canada,Online,Apparel,Jackets,APP-JAC-0001,Flash,96,2597.56,0.23,366.87,35,101,5,0.95,0.64,Summer Splash,6.08
2024-01-02,1,1,Q1,North America,Canada,Online,Footwear,Sneakers,FOO-SNE-0001,Flash,48,3825.44,0.11,1073.13,36,59,20,0.97,0.25,City Walks,2.56
2024-01-02,1,1,Q1,North America,USA,Retail,Accessories,Caps,ACC-CAP-0001,Clearance,50,1728.18,0.23,790.86,90,61,11,0.96,0.00,Travel Light,1.19
2024-01-02,1,1,Q1,Europe,Spain,Outlet,Apparel,Jackets,APP-JAC-0001,None,28,931.00,0.05,417.82,26,33,12,0.95,0.07,Spring Refresh,1.23
2024-01-02,1,1,Q1,Europe,Germany,Online,Footwear,Sneakers,FOO-SNE-0001,None,49,4189.50,0.05,233.69,67,54,20,0.92,0.00,Run Faster,16.93
2024-01-02,1,1,Q1,Europe,Spain,Marketplace,Accessories,Watches,ACC-WAT-0001,None,57,2436.75,0.05,358.03,52,62,16,0.94,0.09,Travel Light,5.81
2024-01-02,1,1,Q1,APAC,India,Online,Apparel,Jackets,APP-JAC-0001,Clearance,25,699.43,0.20,512.87,40,30,11,0.92,0.00,Summer Splash,0.36
2024-01-02,1,1,Q1,APAC,Australia,Marketplace,Footwear,Sneakers,FOO-SNE-0001,None,40,3420.00,0.05,1069.47,76,45,8,0.91,0.00,City Walks,2.20
2024-01-02,1,1,Q1,APAC,Singapore,Online,Accessories,Caps,ACC-CAP-0001,Flash,39,1401.19,0.20,660.61,84,46,6,0.92,0.00,Everyday Essentials,1.12
2024-01-02,1,1,Q1,LATAM,Mexico,Outlet,Apparel,Hoodies,APP-HOO-0001,Flash,53,1473.33,0.21,1155.61,68,66,20,0.91,0.00,Summer Splash,0.28
2024-01-02,1,1,Q1,LATAM,Chile,Online,Footwear,Sneakers,FOO-SNE-0001,None,21,1795.50,0.05,937.89,62,26,20,0.94,0.00,City Walks,0.91
2024-01-02,1,1,Q1,LATAM,Brazil,Online,Accessories,Caps,ACC-CAP-0001,Loyalty,41,1628.89,0.12,230.68,53,49,8,0.98,0.00,Style Up,6.06
2024-01-03,1,1,Q1,North America,Canada,Online,Apparel,T-Shirts,APP-TSH-0002,Clearance,99,2612.89,0.25,703.69,55,121,15,0.92,0.44,Summer Splash,2.71
2024-01-03,1,1,Q1,North America,USA,Outlet,Footwear,Sneakers,FOO-SNE-0002,None,16,1368.00,0.05,636.62,31,21,7,0.95,0.00,City Walks,1.15
2024-01-03,1,1,Q1,North America,USA,Retail,Accessories,Backpacks,ACC-BAC-0002,Flash,48,1744.46,0.19,324.06,74,57,14,0.95,0.00,Style Up,4.38
2024-01-03,1,1,Q1,Europe,UK,Online,Apparel,Jackets,APP-JAC-0002,Clearance,99,3028.77,0.13,1073.25,81,104,8,0.97,0.18,Spring Refresh,1.82
2024-01-03,1,1,Q1,Europe,UK,Outlet,Footwear,Running,FOO-RUN-0002,Clearance,44,2883.38,0.27,1047.03,41,49,6,0.91,0.07,Trail Master,1.75
2024-01-03,1,1,Q1,Europe,France,Online,Accessories,Backpacks,ACC-BAC-0002,None,80,3420.00,0.05,1178.99,53,85,18,0.95,0.34,Everyday Essentials,1.90
